Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
78592;Santa Maria;TX;26.078.355;-9.784.169;-6;1;26.078355,-97.84169
79719;Barstow;TX;31.461.562;-10.339.895;-6;1;31.461562,-103.39895
76530;Granger;TX;30.715.207;-9.743.449;-6;1;30.715207,-97.43449
76558;Mound;TX;31.351.386;-97.644.352;-6;1;31.351386,-97.644352
56162;Ormsby;MN;43.843.264;-9.468.446;-6;1;43.843264,-94.68446
72355;Lexa;AR;34.554.466;-9.076.901;-6;1;34.554466,-90.76901
74470;Webbers Falls;OK;35.490.036;-9.515.158;-6;1;35.490036,-95.15158
75251;Dallas;TX;32.919.104;-9.677.497;-6;1;32.919104,-96.77497
75771;Lindale;TX;32.522.902;-9.542.126;-6;1;32.522902,-95.42126
49706;Alanson;MI;45.431.122;-8.477.654;-5;1;45.431122,-84.77654
49894;Wells;MI;45.778.066;-8.707.647;-5;1;45.778066,-87.07647
50002;Adair;IA;41.507.565;-9.464.805;-6;1;41.507565,-94.64805
53957;Randolph;WI;43.535.249;-89.006.845;-6;1;43.535249,-89.006845
54207;Collins;WI;44.086.144;-8.798.331;-6;1;44.086144,-87.98331
62781;Springfield;IL;39.749.457;-89.606.017;-6;1;39.749457,-89.606017
64475;Parnell;MO;4.043.702;-946.186;-6;1;40.43702,-94.6186
66044;Lawrence;KS;38.983.551;-9.523.202;-6;1;38.983551,-95.23202
71439;Hornbeck;LA;31.330.255;-9.338.882;-6;1;31.330255,-93.38882
71766;Thornton;AR;33.741.892;-9.248.834;-6;1;33.741892,-92.48834
71865;Wilton;AR;33.741.986;-9.414.867;-6;1;33.741986,-94.14867
61615;Peoria;IL;40.764.368;-896.448;-6;1;40.764368,-89.6448
61818;Cerro Gordo;IL;39.889.596;-8.872.633;-6;1;39.889596,-88.72633
84624;Delta;UT;39.349.079;-1.125.433;-7;1;39.349079,-112.5433
80471;Pinecliffe;CO;39.947.386;-105.459.269;-7;1;39.947386,-105.459269
80630;Greeley;CO;40.405.094;-104.800.547;-7;1;40.405094,-104.800547
88347;Sacramento;NM;32.789.854;-10.560.437;-7;1;32.789854,-105.60437
89137;Las Vegas;NV;35.927.901;-114.972.061;-8;1;35.927901,-114.972061
95030;Los Gatos;CA;37.228.594;-12.198.396;-8;1;37.228594,-121.98396
91310;Castaic;CA;33.786.594;-118.298.662;-8;1;33.786594,-118.298662
91735;El Monte;CA;33.786.594;-118.298.662;-8;1;33.786594,-118.298662
77208;Houston;TX;2.983.399;-95.434.241;-6;1;29.83399,-95.434241
78056;Mico;TX;2.954.825;-9.890.353;-6;1;29.54825,-98.90353
28673;Sherrills Ford;NC;35.589.022;-8.099.326;-5;1;35.589022,-80.99326
29655;Iva;SC;34.299.215;-8.263.812;-5;1;34.299215,-82.63812
36119;Montgomery;AL;32.233.377;-86.208.528;-6;1;32.233377,-86.208528
37341;Harrison;TN;3.519.154;-8.509.827;-5;1;35.19154,-85.09827
42207;Bee Spring;KY;37.293.315;-8.626.557;-6;1;37.293315,-86.26557
94533;Fairfield;CA;38.269.582;-12.203.701;-8;1;38.269582,-122.03701
95381;Turlock;CA;3.760.396;-120.937.052;-8;1;37.60396,-120.937052
97039;Moro;OR;45.479.419;-12.075.969;-8;1;45.479419,-120.75969
98273;Mount Vernon;WA;48.414.576;-12.235.196;-8;1;48.414576,-122.35196
99646;Palmer;AK;61.586.896;-149.094.699;-9;1;61.586896,-149.094699
2081;Walpole;MA;42.145.237;-7.125.375;-5;1;42.145237,-71.25375
54891;Washburn;WI;4.669.297;-9.093.744;-6;1;46.69297,-90.93744
56372;Saint Cloud;MN;4.552.886;-94.593.338;-6;1;45.52886,-94.593338
56679;South International Falls;MN;4.827.888;-93.755.536;-6;1;48.27888,-93.755536
41668;West Prestonsburg;KY;37.670.986;-82.760.975;-5;1;37.670986,-82.760975
42445;Princeton;KY;3.712.596;-8.787.429;-6;1;37.12596,-87.87429
43905;Barton;OH;40.105.279;-8.084.292;-5;1;40.105279,-80.84292
44047;Jefferson;OH;41.728.451;-8.074.507;-5;1;41.728451,-80.74507
34603;Brooksville;FL;28.564.167;-82.416.515;-5;1;28.564167,-82.416515
85065;Phoenix;AZ;33.276.539;-11.218.717;-7;0;33.276539,-112.18717
65761;Theodosia;AR;36.489.216;-9.269.301;-6;1;36.489216,-92.69301
66961;Norway;KS;39.827.894;-97.650.902;-6;1;39.827894,-97.650902
39755;Pheba;MS;33.608.062;-889.596;-6;1;33.608062,-88.9596
42748;Hodgenville;KY;37.566.527;-8.571.452;-5;1;37.566527,-85.71452
43510;Colton;OH;41.419.878;-84.013.674;-5;1;41.419878,-84.013674
37681;Limestone;TN;36.246.547;-8.262.095;-5;1;36.246547,-82.62095
38664;Robinsonville;MS;34.818.548;-9.029.479;-6;1;34.818548,-90.29479
61327;Hennepin;IL;41.252.101;-8.932.451;-6;1;41.252101,-89.32451
62560;Raymond;IL;39.312.686;-8.959.541;-6;1;39.312686,-89.59541
62650;Jacksonville;IL;39.730.234;-9.022.941;-6;1;39.730234,-90.22941
55748;Hill City;MN;46.956.138;-9.360.042;-6;1;46.956138,-93.60042
56172;Slayton;MN;44.007.631;-9.575.803;-6;1;44.007631,-95.75803
56369;Rockville;MN;45.470.635;-9.433.862;-6;1;45.470635,-94.33862
53093;Waldo;WI;43.665.399;-8.794.735;-6;1;43.665399,-87.94735
49636;Glen Arbor;MI;44.884.904;-8.598.588;-5;1;44.884904,-85.98588
7733;Holmdel;NJ;40.384.832;-7.417.194;-5;1;40.384832,-74.17194
26058;Short Creek;WV;4.027.932;-80.599.949;-5;1;40.27932,-80.599949
8060;Mount Holly;NJ;39.991.562;-7.479.747;-5;1;39.991562,-74.79747
8823;Franklin Park;NJ;40.439.412;-7.455.565;-5;1;40.439412,-74.55565
19715;Newark;DE;39.564.499;-75.597.047;-5;1;39.564499,-75.597047
21098;Hanover;MD;38.974.203;-76.594.942;-5;1;38.974203,-76.594942
21678;Worton;MD;39.295.736;-7.609.974;-5;1;39.295736,-76.09974
26343;Crawford;WV;3.885.389;-8.040.589;-5;1;38.85389,-80.40589
27294;Lexington;NC;35.882.943;-80.275.963;-5;1;35.882943,-80.275963
18439;Lakewood;PA;41.825.884;-7.534.132;-5;1;41.825884,-75.34132
28778;Swannanoa;NC;3.560.243;-8.240.531;-5;1;35.60243,-82.40531
28792;Hendersonville;NC;35.353.837;-8.241.625;-5;1;35.353837,-82.41625
11790;Stony Brook;NY;40.906.174;-7.312.748;-5;1;40.906174,-73.12748
