Zip;City;State;Latitude;Longitude;Timezone;Daylight savings time flag;geopoint
71937;Cove;AR;34.398.483;-9.439.398;-6;1;34.398483,-94.39398
72044;Edgemont;AR;35.624.351;-9.216.056;-6;1;35.624351,-92.16056
56171;Sherburn;MN;43.660.847;-9.474.357;-6;1;43.660847,-94.74357
49430;Lamont;MI;43.010.337;-8.589.754;-5;1;43.010337,-85.89754
52585;Richland;IA;41.194.129;-9.198.027;-6;1;41.194129,-91.98027
47520;Cannelton;IN;37.934.311;-8.667.821;-5;0;37.934311,-86.67821
49464;Zeeland;MI;42.829.252;-8.599.621;-5;1;42.829252,-85.99621
49919;Covington;MI;46.559.834;-8.852.201;-5;1;46.559834,-88.52201
52401;Cedar Rapids;IA;4.197.545;-9.165.912;-6;1;41.97545,-91.65912
35979;Higdon;AL;34.831.242;-8.561.564;-6;1;34.831242,-85.61564
36350;Midland City;AL;31.319.083;-8.548.718;-6;1;31.319083,-85.48718
38401;Columbia;TN;35.619.784;-8.703.565;-6;1;35.619784,-87.03565
41065;Muses Mills;KY;383.481;-83.718.626;-5;1;38.3481,-83.718626
55302;Annandale;MN;45.246.631;-9.411.692;-6;1;45.246631,-94.11692
29607;Greenville;SC;34.825.592;-8.234.099;-5;1;34.825592,-82.34099
31150;Atlanta;GA;33.844.371;-8.447.405;-5;1;33.844371,-84.47405
31646;Saint George;GA;30.518.903;-8.208.063;-5;1;30.518903,-82.08063
31826;Shiloh;GA;32.803.518;-8.469.384;-5;1;32.803518,-84.69384
17932;Frackville;PA;40.649.109;-76.503.339;-5;1;40.649109,-76.503339
18947;Pipersville;PA;40.426.391;-7.511.842;-5;1;40.426391,-75.11842
20227;Washington;DC;38.893.311;-77.014.647;-5;1;38.893311,-77.014647
14043;Depew;NY;42.904.958;-787.006;-5;1;42.904958,-78.7006
15278;Pittsburgh;PA;40.434.436;-80.024.817;-5;1;40.434436,-80.024817
15482;Star Junction;PA;40.062.849;-7.976.338;-5;1;40.062849,-79.76338
33446;Delray Beach;FL;26.452.473;-8.016.509;-5;1;26.452473,-80.16509
27915;Avon;NC;35.354.252;-7.550.417;-5;1;35.354252,-75.50417
23328;Chesapeake;VA;367.085;-76.278.531;-5;1;36.7085,-76.278531
24062;Blacksburg;VA;37.174.227;-80.395.698;-5;1;37.174227,-80.395698
26253;Beverly;WV;38.827.205;-7.989.057;-5;1;38.827205,-79.89057
2472;Watertown;MA;42.371.296;-7.118.196;-5;1;42.371296,-71.18196
7309;Jersey City;NJ;4.073.276;-74.075.485;-5;1;40.73276,-74.075485
623;Cabo Rojo;PR;1.808.643;-6.715.222;-4;0;18.08643,-67.15222
52163;Protivin;IA;4.321.661;-9.209.219;-6;1;43.21661,-92.09219
52216;Clarence;IA;41.888.182;-9.104.567;-6;1;41.888182,-91.04567
53031;Hingham;WI;43.639.395;-87.915.705;-6;1;43.639395,-87.915705
60651;Chicago;IL;41.901.485;-8.774.055;-6;1;41.901485,-87.74055
62090;Venice;IL;3.867.065;-9.017.052;-6;1;38.67065,-90.17052
62420;Casey;IL;39.299.447;-8.799.863;-6;1;39.299447,-87.99863
64503;Saint Joseph;MO;39.741.794;-9.483.237;-6;1;39.741794,-94.83237
65325;Cole Camp;MO;38.451.021;-9.319.156;-6;1;38.451021,-93.19156
65638;Drury;MO;36.851.944;-9.233.081;-6;1;36.851944,-92.33081
74801;Shawnee;OK;35.327.341;-9.693.544;-6;1;35.327341,-96.93544
75475;Randolph;TX;33.485.315;-9.625.525;-6;1;33.485315,-96.25525
75757;Bullard;TX;32.136.787;-953.671;-6;1;32.136787,-95.3671
63179;Saint Louis;MO;386.531;-90.243.462;-6;1;38.6531,-90.243462
63436;Center;MO;39.501.697;-915.367;-6;1;39.501697,-91.5367
57440;Frankfort;SD;44.857.069;-9.827.191;-6;1;44.857069,-98.27191
72112;Newport;AR;35.586.065;-9.124.695;-6;1;35.586065,-91.24695
72714;Bella Vista;AR;36.458.041;-9.423.551;-6;1;36.458041,-94.23551
99671;Stebbins;AK;63.511.893;-16.227.463;-9;1;63.511893,-162.27463
97304;Salem;OR;44.970.181;-12.308.033;-8;1;44.970181,-123.08033
97414;Broadbent;OR;42.977.978;-1.241.716;-8;1;42.977978,-124.1716
81148;Romeo;CO;37.171.583;-10.598.648;-7;1;37.171583,-105.98648
81423;Norwood;CO;38.082.231;-1.082.586;-7;1;38.082231,-108.2586
81505;Grand Junction;CO;39.112.514;-10.860.506;-7;1;39.112514,-108.60506
81624;Collbran;CO;39.220.166;-10.793.414;-7;1;39.220166,-107.93414
82718;Gillette;WY;43.939.968;-10.552.445;-7;1;43.939968,-105.52445
89317;Lund;NV;38.835.421;-11.502.628;-8;1;38.835421,-115.02628
92232;Calexico;CA;33.026.203;-115.284.581;-8;1;33.026203,-115.284581
93227;Goshen;CA;36.357.151;-119.425.371;-8;1;36.357151,-119.425371
93234;Huron;CA;36.209.815;-1.200.847;-8;1;36.209815,-120.0847
93529;June Lake;CA;37.765.218;-11.907.769;-8;1;37.765218,-119.07769
93761;Fresno;CA;36.746.375;-119.639.658;-8;1;36.746375,-119.639658
94931;Cotati;CA;38.328.614;-12.271.044;-8;1;38.328614,-122.71044
95322;Gustine;CA;37.187.494;-12.103.232;-8;1;37.187494,-121.03232
30334;Atlanta;GA;33.702.657;-84.439.127;-5;1;33.702657,-84.439127
36879;Waverly;AL;32.733.511;-8.555.322;-6;1;32.733511,-85.55322
38017;Collierville;TN;35.057.224;-8.967.417;-6;1;35.057224,-89.67417
43984;New Rumley;OH;4.029.649;-81.102.502;-5;1;40.29649,-81.102502
46787;South Whitley;IN;41.080.236;-8.562.796;-5;0;41.080236,-85.62796
31606;Valdosta;GA;30.802.411;-8.319.624;-5;1;30.802411,-83.19624
55992;Zumbrota;MN;44.297.157;-9.268.312;-6;1;44.297157,-92.68312
13827;Owego;NY;42.120.274;-7.625.874;-5;1;42.120274,-76.25874
14739;Friendship;NY;42.192.384;-7.814.308;-5;1;42.192384,-78.14308
15227;Pittsburgh;PA;40.377.869;-7.997.516;-5;1;40.377869,-79.97516
16877;Warriors Mark;PA;40.721.787;-7.808.561;-5;1;40.721787,-78.08561
31732;Cedar Springs;GA;31.169.794;-850.557;-5;1;31.169794,-85.0557
32621;Bronson;FL;29.447.069;-8.260.452;-5;1;29.447069,-82.60452
21634;Fishing Creek;MD;38.288.409;-7.620.146;-5;1;38.288409,-76.20146
24008;Roanoke;VA;37.274.175;-7.995.786;-5;1;37.274175,-79.95786
25645;Stirrat;WV;37.833.204;-81.902.401;-5;1;37.833204,-81.902401
34447;Homosassa Springs;FL;28.804.911;-82.574.264;-5;1;28.804911,-82.574264
35004;Moody;AL;33.606.379;-8.650.249;-6;1;33.606379,-86.50249
27834;Greenville;NC;35.626.653;-7.737.896;-5;1;35.626653,-77.37896
28373;Pinebluff;NC;35.100.144;-7.947.979;-5;1;35.100144,-79.47979
11703;North Babylon;NY;40.733.398;-7.332.257;-5;1;40.733398,-73.32257
2909;Providence;RI;418.191;-7.144.775;-5;1;41.8191,-71.44775
4617;Brooksville;ME;44.363.587;-6.874.399;-5;1;44.363587,-68.74399
7961;Morristown;NJ;4.077.975;-74.442.797;-5;1;40.77975,-74.442797
767;Yabucoa;PR;18.072.752;-6.589.703;-4;0;18.072752,-65.89703
803;St Thomas;VI;18.322.285;-64.963.715;-4;0;18.322285,-64.963715
43681;Toledo;OH;41.686.778;-8.343.943;-5;1;41.686778,-83.43943
36744;Greensboro;AL;32.703.529;-8.760.177;-6;1;32.703529,-87.60177
37616;Afton;TN;36.218.863;-8.274.704;-5;1;36.218863,-82.74704
38602;Arkabutla;MS;34.686.272;-90.106.756;-6;1;34.686272,-90.106756
50519;Bode;IA;42.884.723;-9.427.644;-6;1;42.884723,-94.27644
40081;Crestwood;KY;383.386;-85.492.459;-5;1;38.3386,-85.492459
30444;East Point;GA;33.696.073;-84.450.276;-5;1;33.696073,-84.450276
90038;Los Angeles;CA;34.089.459;-1.183.285;-8;1;34.089459,-118.3285
90063;Los Angeles;CA;34.045.161;-1.181.865;-8;1;34.045161,-118.1865
92709;Irvine;CA;33.640.302;-117.769.442;-8;1;33.640302,-117.769442
93492;Morro Bay;CA;35.372.861;-120.859.391;-8;1;35.372861,-120.859391
94175;San Francisco;CA;37.784.827;-122.727.802;-8;1;37.784827,-122.727802
84530;La Sal;UT;38.236.886;-10.915.445;-7;1;38.236886,-109.15445
95592;Vallejo;CA;38.098.737;-122.271.251;-8;1;38.098737,-122.271251
38138;Germantown;TN;35.088.885;-8.980.677;-6;1;35.088885,-89.80677
40298;Louisville;KY;38.188.962;-85.676.819;-5;1;38.188962,-85.676819
56517;Beltrami;MN;4.755.171;-9.653.492;-6;1;47.55171,-96.53492
57841;Carlisle;SD;45.632.378;-98.704.197;-6;1;45.632378,-98.704197
58323;Calvin;ND;48.849.591;-9.890.525;-6;1;48.849591,-98.90525
58533;Elgin;ND;46.408.171;-10.182.853;-7;1;46.408171,-101.82853
58771;Plaza;ND;48.073.998;-1.019.763;-6;1;48.073998,-101.9763
58793;Westhope;ND;48.871.815;-10.104.936;-6;1;48.871815,-101.04936
53171;Somers;WI;42.642.298;-87.903.161;-6;1;42.642298,-87.903161
53189;Waukesha;WI;42.967.394;-88.264;-6;1;42.967394,-88.264
56091;Waldorf;MN;43.930.363;-9.369.492;-6;1;43.930363,-93.69492
43733;Derwent;OH;39.923.616;-81.542.965;-5;1;39.923616,-81.542965
47613;Elberfeld;IN;38.170.645;-8.742.886;-6;1;38.170645,-87.42886
51049;Quimby;IA;42.626.822;-9.561.438;-6;1;42.626822,-95.61438
51651;Shambaugh;IA;4.065.747;-95.024.969;-6;1;40.65747,-95.024969
53014;Chilton;WI;44.033.215;-8.817.626;-6;1;44.033215,-88.17626
43334;Marengo;OH;40.399.648;-8.280.783;-5;1;40.399648,-82.80783
62206;East Saint Louis;IL;38.564.451;-901.628;-6;1;38.564451,-90.1628
64155;Kansas City;MO;39.276.828;-9.457.344;-6;1;39.276828,-94.57344
48215;Detroit;MI;42.378.287;-8.295.243;-5;1;42.378287,-82.95243
30531;Cornelia;GA;34.514.215;-8.354.118;-5;1;34.514215,-83.54118
20521;Washington;DC;38.893.311;-77.014.647;-5;1;38.893311,-77.014647
20557;Washington;DC;38.887.405;-77.004.663;-5;1;38.887405,-77.004663
23176;Wake;VA;37.571.789;-7.641.631;-5;1;37.571789,-76.41631
16830;Clearfield;PA;41.026.239;-7.843.838;-5;1;41.026239,-78.43838
16876;Wallaceton;PA;40.960.106;-7.828.886;-5;1;40.960106,-78.28886
11707;West Babylon;NY;40.922.326;-72.637.078;-5;1;40.922326,-72.637078
12442;Hunter;NY;42.222.061;-7.423.418;-5;1;42.222061,-74.23418
13334;Eaton;NY;4.283.917;-7.565.482;-5;1;42.83917,-75.65482
13626;Copenhagen;NY;43.859.025;-7.572.942;-5;1;43.859025,-75.72942
24620;Hurley;VA;37.409.883;-8.202.317;-5;1;37.409883,-82.02317
25521;Griffithsville;WV;38.238.045;-8.198.991;-5;1;38.238045,-81.98991
34489;Silver Springs;FL;29.215.153;-82.097.163;-5;1;29.215153,-82.097163
17866;Coal Township;PA;40.791.328;-7.656.393;-5;1;40.791328,-76.56393
17882;Troxelville;PA;40.801.614;-7.720.537;-5;1;40.801614,-77.20537
18466;Tobyhanna;PA;4.119.012;-7.536.779;-5;1;41.19012,-75.36779
19173;Philadelphia;PA;40.001.811;-7.511.787;-5;1;40.001811,-75.11787
28039;East Spencer;NC;35.677.889;-8.044.593;-5;1;35.677889,-80.44593
28206;Charlotte;NC;35.248.292;-8.082.748;-5;1;35.248292,-80.82748
28282;Charlotte;NC;35.224.242;-80.844.743;-5;1;35.224242,-80.844743
96778;Pahoa;HI;19.494.625;-1.549.266;-10;0;19.494625,-154.9266
97298;Portland;OR;45.548.616;-123.114.725;-8;1;45.548616,-123.114725
97538;Selma;OR;42.259.678;-12.354.778;-8;1;42.259678,-123.54778
98520;Aberdeen;WA;46.972.965;-12.381.923;-8;1;46.972965,-123.81923
98579;Rochester;WA;46.814.438;-12.308.647;-8;1;46.814438,-123.08647
93701;Fresno;CA;36.749.444;-11.978.872;-8;1;36.749444,-119.78872
94295;Sacramento;CA;38.377.411;-121.444.429;-8;1;38.377411,-121.444429
16601;Altoona;PA;40.526.319;-7.840.082;-5;1;40.526319,-78.40082
17301;Abbottstown;PA;39.891.548;-7.698.359;-5;1;39.891548,-76.98359
19420;Arcola;PA;40.152.871;-75.456.719;-5;1;40.152871,-75.456719
32503;Pensacola;FL;30.447.997;-8.720.727;-6;1;30.447997,-87.20727
36268;Munford;AL;3.351.179;-8.594.756;-6;1;33.51179,-85.94756
24292;Whitetop;VA;3.659.565;-8.159.154;-5;1;36.59565,-81.59154
26267;Ellamore;WV;38.912.609;-8.007.907;-5;1;38.912609,-80.07907
27341;Seagrove;NC;3.553.332;-7.971.018;-5;1;35.53332,-79.71018
8887;Three Bridges;NJ;40.525.361;-7.479.632;-5;1;40.525361,-74.79632
71284;Tallulah;LA;32.341.594;-91.216.458;-6;1;32.341594,-91.216458
71423;Dry Prong;LA;31.563.093;-9.254.954;-6;1;31.563093,-92.54954
71443;Kurthwood;LA;311.019;-93.361.238;-6;1;31.1019,-93.361238
48226;Detroit;MI;42.331.821;-8.304.888;-5;1;42.331821,-83.04888
48503;Flint;MI;43.011.227;-8.369.291;-5;1;43.011227,-83.69291
49756;Lewiston;MI;44.839.929;-8.430.787;-5;1;44.839929,-84.30787
50675;Traer;IA;42.193.577;-924.828;-6;1;42.193577,-92.4828
78650;McDade;TX;30.283.941;-9.723.563;-6;1;30.283941,-97.23563
80402;Golden;CO;39.522.014;-105.223.945;-7;1;39.522014,-105.223945
83121;Frontier;WY;41.814.385;-11.053.743;-7;1;41.814385,-110.53743
92693;San Juan Capistrano;CA;33.555.323;-117.564;-8;1;33.555323,-117.564
93140;Santa Barbara;CA;34.262.834;-119.848.555;-8;1;34.262834,-119.848555
93255;Onyx;CA;35.666.835;-11.801.701;-8;1;35.666835,-118.01701
75010;Carrollton;TX;33.030.556;-9.689.328;-6;1;33.030556,-96.89328
76054;Hurst;TX;32.858.398;-9.717.681;-6;1;32.858398,-97.17681
68743;Jackson;NE;42.460.155;-9.660.668;-6;1;42.460155,-96.60668
85268;Fountain Hills;AZ;33.604.811;-11.172.852;-7;0;33.604811,-111.72852
45841;Jenera;OH;40.881.217;-8.373.199;-5;1;40.881217,-83.73199
65047;Kaiser;MO;3.814.008;-9.258.331;-6;1;38.14008,-92.58331
67102;Maple City;KS;37.043.519;-9.675.924;-6;1;37.043519,-96.75924
67954;Rolla;KS;37.163.412;-10.161.909;-6;1;37.163412,-101.61909
68792;Wynot;NE;42.749.481;-9.714.372;-6;1;42.749481,-97.14372
75961;Nacogdoches;TX;31.626.011;-9.460.338;-6;1;31.626011,-94.60338
76452;Energy;TX;31.758.351;-9.840.613;-6;1;31.758351,-98.40613
76855;Lowake;TX;31.333.614;-9.985.837;-6;1;31.333614,-99.85837
80235;Denver;CO;39.648.328;-10.508.431;-7;1;39.648328,-105.08431
80620;Evans;CO;40.378.019;-10.470.357;-7;1;40.378019,-104.70357
81001;Pueblo;CO;38.282.872;-10.457.029;-7;1;38.282872,-104.57029
83401;Idaho Falls;ID;43.528.891;-11.198.136;-7;1;43.528891,-111.98136
85292;Winkelman;AZ;32.945.838;-11.072.198;-7;0;32.945838,-110.72198
57481;Westport;SD;45.663.385;-9.862.274;-6;1;45.663385,-98.62274
58723;Butte;ND;47.785.232;-10.069.257;-6;1;47.785232,-100.69257
78349;Concepcion;TX;27.316.167;-9.829.797;-6;1;27.316167,-98.29797
79381;Wilson;TX;33.327.782;-10.176.906;-6;1;33.327782,-101.76906
63626;Blackwell;MO;38.053.566;-9.064.229;-6;1;38.053566,-90.64229
23290;Richmond;VA;37.524.246;-77.493.157;-5;1;37.524246,-77.493157
23486;Willis Wharf;VA;37.518.917;-75.810.482;-5;1;37.518917,-75.810482
24069;Cascade;VA;36.586.545;-7.964.194;-5;1;36.586545,-79.64194
15773;Saint Benedict;PA;40.628.368;-7.873.335;-5;1;40.628368,-78.73335
16665;Newry;PA;40.393.223;-7.843.508;-5;1;40.393223,-78.43508
16927;Harrison Valley;PA;41.958.059;-7.767.187;-5;1;41.958059,-77.67187
30746;Sugar Valley;GA;34.574.804;-8.502.482;-5;1;34.574804,-85.02482
32830;Orlando;FL;28.385.549;-81.505.894;-5;1;28.385549,-81.505894
33756;Clearwater;FL;27.944.631;-8.278.702;-5;1;27.944631,-82.78702
20868;Spencerville;MD;39.127.028;-7.696.372;-5;1;39.127028,-76.96372
21849;Parsonsburg;MD;38.363.057;-7.545.574;-5;1;38.363057,-75.45574
22218;Arlington;VA;38.880.811;-7.711.295;-5;1;38.880811,-77.11295
17570;Rheems;PA;40.129.494;-7.656.991;-5;1;40.129494,-76.56991
17942;Landingville;PA;40.722.587;-76.229.623;-5;1;40.722587,-76.229623
18456;Prompton;PA;41.606.184.999.999.900;-7.533.971;-5;1;41.606185,-75.33971
18834;New Milford;PA;41.853.082;-7.572.077;-5;1;41.853082,-75.72077
18921;Ferndale;PA;40.328.645;-7.510.278;-5;1;40.328645,-75.10278
19134;Philadelphia;PA;39.991.712;-7.511.116;-5;1;39.991712,-75.11116
29164;Wagener;SC;33.659.078;-8.140.845;-5;1;33.659078,-81.40845
54020;Osceola;WI;45.299.735;-9.264.222;-6;1;45.299735,-92.64222
55125;Saint Paul;MN;44.921.982;-9.294.234;-6;1;44.921982,-92.94234
56039;Granada;MN;43.680.519;-9.433.773;-6;1;43.680519,-94.33773
39072;Pocahontas;MS;32.311.287;-9.039.715.699.999.990;-6;1;32.311287,-90.397157
39154;Raymond;MS;32.230.592;-9.045.709;-6;1;32.230592,-90.45709
8817;Edison;NJ;40.516.104;-7.439.754;-5;1;40.516104,-74.39754
10965;Pearl River;NY;41.063.329;-7.401.734;-5;1;41.063329,-74.01734
12151;Round Lake;NY;42.932.326;-7.379.363;-5;1;42.932326,-73.79363
12195;West Lebanon;NY;42.479.384;-73.474.809;-5;1;42.479384,-73.474809
18216;Beaver Meadows;PA;40.931.187;-7.591.493;-5;1;40.931187,-75.91493
2169;Quincy;MA;42.250.739;-7.099.593;-5;1;42.250739,-70.99593
2375;South Easton;MA;42.029.749;-7.110.191;-5;1;42.029749,-71.10191
2639;Dennis Port;MA;41.661.115;-7.013.348;-5;1;41.661115,-70.13348
77590;Texas City;TX;29.395.283;-9.491.759;-6;1;29.395283,-94.91759
78013;Comfort;TX;29.972.473;-9.891.084;-6;1;29.972473,-98.91084
68832;Doniphan;NE;40.763.643;-9.838.794;-6;1;40.763643,-98.38794
42046;Hamlin;KY;366.033;-88.092.285;-6;1;36.6033,-88.092285
43652;Toledo;OH;41.686.778;-8.343.943;-5;1;41.686778,-83.43943
62611;Arenzville;IL;39.883.346;-9.039.332;-6;1;39.883346,-90.39332
70005;Metairie;LA;29.999.453;-9.013.398;-6;1;29.999453,-90.13398
71048;Lisbon;LA;32.830.135;-9.285.568;-6;1;32.830135,-92.85568
26865;Yellow Spring;WV;39.199.856;-7.849.655;-5;1;39.199856,-78.49655
28007;Ansonville;NC;35.104.652;-8.010.965;-5;1;35.104652,-80.10965
54964;Pickett;WI;43.923.141;-8.872.654;-6;1;43.923141,-88.72654
56011;Belle Plaine;MN;44.616.113;-9.376.906;-6;1;44.616113,-93.76906
19318;Chatham;PA;39.852.406;-75.811.789;-5;1;39.852406,-75.811789
21241;Baltimore;MD;39.284.707;-76.620.489;-5;1;39.284707,-76.620489
50167;Minburn;IA;41.750.745;-9.404.659;-6;1;41.750745,-94.04659
80202;Denver;CO;39.751.586;-10.499.699;-7;1;39.751586,-104.99699
84305;Clarkston;UT;41.938.629;-1.120.433;-7;1;41.938629,-112.0433
85382;Peoria;AZ;33.689.869;-11.224.838;-7;0;33.689869,-112.24838
93465;Templeton;CA;3.554.464;-12.072.428;-8;1;35.54464,-120.72428
94160;San Francisco;CA;37.784.827;-122.727.802;-8;1;37.784827,-122.727802
94164;San Francisco;CA;37.784.827;-122.727.802;-8;1;37.784827,-122.727802
95383;Twain Harte;CA;38.055.888;-12.023.002;-8;1;38.055888,-120.23002
95665;Pine Grove;CA;3.840.097;-12.064.952;-8;1;38.40097,-120.64952
79917;El Paso;TX;31.694.842;-106.299.987;-7;1;31.694842,-106.299987
90301;Inglewood;CA;33.955.913;-11.835.868;-8;1;33.955913,-118.35868
60974;Woodland;IL;40.710.295;-8.773.137;-6;1;40.710295,-87.73137
62001;Alhambra;IL;38.884.434;-8.974.886;-6;1;38.884434,-89.74886
92543;Hemet;CA;3.373.542;-11.697.401;-8;1;33.73542,-116.97401
92837;Fullerton;CA;33.640.302;-117.769.442;-8;1;33.640302,-117.769442
14617;Rochester;NY;43.223.213;-7.759.721;-5;1;43.223213,-77.59721
15238;Pittsburgh;PA;40.518.701;-7.986.744;-5;1;40.518701,-79.86744
21767;Maugansville;MD;39.697.894;-7.774.514;-5;1;39.697894,-77.74514
2886;Warwick;RI;41.705.478;-7.145.119;-5;1;41.705478,-71.45119
3648;Enfield;NH;43.630.276;-72.135.352;-5;1;43.630276,-72.135352
4981;Stockton Springs;ME;44.499.082;-6.885.667;-5;1;44.499082,-68.85667
5061;Randolph Center;VT;43.928.369;-725.731;-5;1;43.928369,-72.5731
5648;Calais;VT;44.375.726;-7.249.509;-5;1;44.375726,-72.49509
19488;Norristown;PA;39.983.153;-75.748.055;-5;1;39.983153,-75.748055
19524;Robeson;PA;40.248.684;-75.858.731;-5;1;40.248684,-75.858731
982;Carolina;PR;18.409.345;-6.599.313;-4;0;18.409345,-65.99313
37407;Chattanooga;TN;35.000.825;-8.528.673;-5;1;35.000825,-85.28673
38704;Greenville;MS;33.253.401;-90.918.503;-6;1;33.253401,-90.918503
38912;Avalon;MS;3.365.497;-90.053.958;-6;1;33.65497,-90.053958
30415;Brooklet;GA;323.456;-8.162.339;-5;1;32.3456,-81.62339
31525;Brunswick;GA;31.260.995;-8.149.832;-5;1;31.260995,-81.49832
32798;Zellwood;FL;28.716.923;-815.754;-5;1;28.716923,-81.5754
43719;Bethesda;OH;40.009.383;-810.763;-5;1;40.009383,-81.0763
43748;Junction City;OH;39.710.863;-8.230.228;-5;1;39.710863,-82.30228
47649;Francisco;IN;38.343.295;-8.744.275;-6;1;38.343295,-87.44275
35576;Millport;AL;33.581.135;-8.810.835;-6;1;33.581135,-88.10835
36535;Foley;AL;30.396.876;-8.769.616;-6;1;30.396876,-87.69616
37367;Pikeville;TN;35.635.097;-8.517.161;-6;1;35.635097,-85.17161
27107;Winston Salem;NC;36.046.215;-8.018.998;-5;1;36.046215,-80.18998
24324;Draper;VA;36.973.028;-8.079.309;-5;1;36.973028,-80.79309
41132;Denton;KY;38.251.159;-8.283.496;-5;1;38.251159,-82.83496
43506;Bryan;OH;41.471.569;-8.455.459;-5;1;41.471569,-84.55459
28584;Swansboro;NC;3.469.771;-7.710.614;-5;1;34.69771,-77.10614
29325;Clinton;SC;34.470.115;-8.186.761;-5;1;34.470115,-81.86761
95965;Oroville;CA;39.558.586;-12.158.923;-8;1;39.558586,-121.58923
97844;Irrigon;OR;45.886.463;-11.951.737;-8;1;45.886463,-119.51737
83429;Island Park;ID;44.490.674;-11.136.631;-7;1;44.490674,-111.36631
78148;Universal City;TX;29.550.223;-9.829.936;-6;1;29.550223,-98.29936
78588;San Isidro;TX;26.720.155;-9.846.845;-6;1;26.720155,-98.46845
65777;Moody;MO;36.524.268;-9.198.863;-6;1;36.524268,-91.98863
67050;Garden Plain;KS;37.663.743;-9.768.539;-6;1;37.663743,-97.68539
67645;Lenora;KS;39.609.655;-9.991.904;-6;1;39.609655,-99.91904
56522;Campbell;MN;46.130.213;-9.640.019;-6;1;46.130213,-96.40019
58405;Jamestown;ND;46.913.344;-98.699.553;-6;1;46.913344,-98.699553
60025;Glenview;IL;4.207.672;-8.781.922;-6;1;42.07672,-87.81922
50278;Zearing;IA;42.158.866;-9.329.673;-6;1;42.158866,-93.29673
50569;Otho;IA;42.417.893;-941.494;-6;1;42.417893,-94.1494
52156;Luana;IA;43.051.922;-9.145.842;-6;1;43.051922,-91.45842
51530;Earling;IA;4.177.364;-9.542.761;-6;1;41.77364,-95.42761
51656;Yorktown;IA;40.737.446;-95.156.217;-6;1;40.737446,-95.156217
53009;Byron;WI;4.376.983;-88.494.357;-6;1;43.76983,-88.494357
55381;Silver Lake;MN;44.904.987;-9.418.802;-6;1;44.904987,-94.18802
30263;Newnan;GA;3.338.779;-8.482.536;-5;1;33.38779,-84.82536
30384;Atlanta;GA;33.844.371;-8.447.405;-5;1;33.844371,-84.47405
30728;La Fayette;GA;34.696.201;-8.525.824;-5;1;34.696201,-85.25824
31714;Ashburn;GA;31.709.742;-8.366.519;-5;1;31.709742,-83.66519
33315;Fort Lauderdale;FL;26.094.385;-8.015.422;-5;1;26.094385,-80.15422
33994;Fort Myers;FL;26.552.895;-8.194.861;-5;1;26.552895,-81.94861
34209;Bradenton;FL;27.488.866;-8.262.737;-5;1;27.488866,-82.62737
47261;Millhousen;IN;39.292.004;-85.491.788;-5;0;39.292004,-85.491788
37050;Cumberland City;TN;36.373.626;-8.763.158;-6;1;36.373626,-87.63158
15665;Manor;PA;40.333.339;-7.966.646;-5;1;40.333339,-79.66646
17265;Upperstrasburg;PA;40.035.958;-7.779.113;-5;1;40.035958,-77.79113
17585;Witmer;PA;40.048.398;-76.211.427;-5;1;40.048398,-76.211427
19511;Bowers;PA;4.048.773;-757.393;-5;1;40.48773,-75.7393
8406;Ventnor City;NJ;39.342.299;-7.448.192;-5;1;39.342299,-74.48192
29520;Cheraw;SC;3.468.862;-7.992.315;-5;1;34.68862,-79.92315
29615;Greenville;SC;34.866.801;-8.231.739;-5;1;34.866801,-82.31739
11716;Bohemia;NY;40.770.042;-7.311.376;-5;1;40.770042,-73.11376
12719;Barryville;NY;41.480.326;-7.492.694;-5;1;41.480326,-74.92694
23435;Suffolk;VA;3.684.882;-7.646.521;-5;1;36.84882,-76.46521
24550;Evington;VA;37.237.928;-7.928.268;-5;1;37.237928,-79.28268
25918;Shady Spring;WV;37.712.469;-8.100.561;-5;1;37.712469,-81.00561
27028;Mocksville;NC;35.920.477;-8.057.143;-5;1;35.920477,-80.57143
27049;Toast;NC;36.551.332;-80.655.786;-5;1;36.551332,-80.655786
95655;Mather;CA;38.558.073;-12.128.737;-8;1;38.558073,-121.28737
91189;Pasadena;CA;33.786.594;-118.298.662;-8;1;33.786594,-118.298662
93099;Simi Valley;CA;34.032.383;-1.191.343;-8;1;34.032383,-119.1343
98604;Battle Ground;WA;45.791.345;-12.251.789;-8;1;45.791345,-122.51789
87413;Bloomfield;NM;36.579.374;-10.787.907;-7;1;36.579374,-107.87907
2382;Whitman;MA;4.208.235;-7.093.734;-5;1;42.08235,-70.93734
2719;Fairhaven;MA;41.634.152;-708.814;-5;1;41.634152,-70.8814
62676;Hillyard;IL;39.128.248;-89.923.215;-6;1;39.128248,-89.923215
79370;Spur;TX;33.478.848;-10.089.669;-6;1;33.478848,-100.89669
71226;Chatham;LA;32.277.816;-9.245.283;-6;1;32.277816,-92.45283
72542;Hardy;AR;36.303.556;-9.148.573;-6;1;36.303556,-91.48573
72686;Witts Springs;AR;35.747.154;-9.290.985;-6;1;35.747154,-92.90985
72927;Booneville;AR;35.105.966;-9.397.531;-6;1;35.105966,-93.97531
83355;Wendell;ID;4.276.079;-11.471.025;-7;1;42.76079,-114.71025
83641;Melba;ID;43.370.358;-11.657.555;-7;1;43.370358,-116.57555
84307;Corinne;UT;41.535.714;-11.230.373;-7;1;41.535714,-112.30373
60139;Glendale Heights;IL;41.920.228;-8.807.891;-6;1;41.920228,-88.07891
